rep_id,bench_number,traffic,primary_street,direction,secondary_street,cor,city,zip,latitude,longitude
1,LA-1172,EB,3rd St,NS,Hobart Blvd,SWC,Koreatown,90004,34.0689,-118.3056
1,LA-5618,EB,3rd St,FS,Las Palmas Ave,SEC,Hancock Park,90004,34.0688,-118.3355
1,LA-5505,EB,3rd St,NS,Lorraine Blvd,SWC,Windsor Square,90004,34.0689,-118.3202
1,LA-1178,WB,3rd St,NS,Martel Ave,NEC,Fairfax,90036,34.07,-118.3508
1,LA-6611,WB,3rd St,NS,New Hampshire Ave,NEC,Koreatown,90020,34.0692,-118.2927
1,LA-4527,WB,3rd St,NS,Normandie Ave,NEC,Koreatown,90004,34.0691,-118.3002
1,LA-0005,EB,3rd St,NS,Occidental Blvd,SWC,Westlake,90057,34.0678,-118.282
1,LA-1589,WB,3rd St,NS,Sweetzer Ave,NEC,Beverly Grove,90048,34.0727,-118.3696
1,LA-1185,WB,3rd St,FS,Wilton Pl,NWC,Koreatown,90020,34.0691,-118.3145
1,LA-0009,EB,3rd St,NS,Witmer St,SWC,MacArthur Park/Westlake,90017,34.0591,-118.2638
1,LA-1187,WB,6th St,NS,Alexandria Ave,NEC,Koreatown,90020,34.0637,-118.2977
1,LA-6815,EB,6th St,NS,Coronado St,SWC,Westlake,90057,34.062,-118.2806
1,LA-7698,WB,8th St,FS,Alvarado St,NWC,Westlake,90057,34.0551,-118.2779
1,LA-3003,WB,8th St,NS,Serrano Ave,NEC,Koreatown,90005,34.0578,-118.3063
1,LA-3012,WB,8th St,FS,Westmoreland Ave,NWC,Koreatown,90005,34.0578,-118.2895
1,LA-6152,WB,96th St,FS,Airport Blvd,NWC,Westchester,90045,33.9493,-118.3871
1,LA-6370,SB,Alameda St,FS,Cesar Chavez Ave,SWC,Downtown Los Angeles,90012,34.0577,-118.2373
1,LA-7043,NB,Allesandro St,FS,Ewing St,NWC,Atwater Village,90039,34.0908,-118.2582
1,LA-3347,EB,Arbor Vitae St,FS,Aviation Blvd,SEC,Westchester,90045,33.9525,-118.3766
1,LA-3040,SB,Arlington Ave,NS,Pico Blvd,NWC,Arlington Heights,90019,34.0474,-118.3177
1,LA-5798,SB,Ave 26,NS,Humboldt St,NWC,Montecito Heights,90031,34.0798,-118.218
1,LA-0615,EB,Ave San Luis,NS,Abbeyville Ave,SWC,Woodland Hills,91364,34.1608,-118.633
1,LA-3350,NB,Aviation Blvd,NS,104th St,SEC,Westchester,90045,33.9417,-118.3784
1,LA-1593,NB,Balboa Blvd,NS,101 Freeway,SEC,Encino,91436,34.1702,-118.501
1,LA-1599,SB,Balboa Blvd,NS,Magnolia Blvd,NWC,Encino,91436,34.1651,-118.5012
1,LA-3998,NB,Balboa Blvd,FS,Sherman Way,NEC,Van Nuys,91406,34.2014,-118.5011
1,LA-4009,SB,Balboa Blvd,FS,Vanowen St,SWC,Van Nuys,91406,34.1938,-118.5012
1,LA-7513,NB,Beaudry Ave,NS,4th St,SEC,Downtown Los Angeles,90017,34.0552,-118.2578
1,LA-7552,EB,Beverly Blvd,NS,Highland Ave,SWC,Hancock Park,90036,34.0761,-118.3389
1,LA-4554,WB,Beverly Blvd,NS,Kingsley Dr,NEC,Koreatown,90004,34.0764,-118.3028
1,LA-1620,EB,Beverly Blvd,NS,Martel Ave,SWC,Fairfax,90036,34.076,-118.3513
1,LA-5614,EB,Beverly Blvd,NS,Rossmore Ave,SWC,Hancock Park,90004,34.0757,-118.3277
1,LA-4561,WB,Beverly Blvd,FS,Virgil Ave,NWC,Koreatown,90004,34.0755,-118.2871
1,LA-1633,NB,Beverly Dr,NS,Whitworth Dr,SEC,Pico-Robertson,90035,34.0567,-118.3962
1,LA-6653,SB,Broadway,NS,Bishops Rd,NWC,Chinatown,90012,34.069,-118.2333
1,LA-4563,NB,Brunswick Ave,NS,Los Feliz Blvd,SEC,Atwater Village,90039,34.125,-118.2656
1,LC-0024,NB,Bundy Dr,NS,Airport Ave,NEC,Santa Monica,90066,34.017,-118.4436
1,LC-0008,SB,Bundy Dr,FS,Airport Ave,SWC,Santa Monica,90066,34.0169,-118.4438
1,LA-3367,SB,Bundy Dr,NS,La Grange Ave,NWC,Sawtelle,90025,34.034,-118.4558
1,LA-6737,NB,Bundy Dr,FS,Pico Blvd,NEC,Sawtelle,90064,34.0297,-118.4504
1,LA-4021,EB,Burbank Blvd,FS,Aldea Ave,SEC,Encino,91316,34.1722,-118.5075
1,LA-0227,WB,Burbank Blvd,FS,Ethel Ave,NWC,Van Nuys,91401,34.1722,-118.418
1,LA-0235,WB,Burbank Blvd,NS,Laurel Canyon Blvd,NEC,Valley Glen,91607,34.1723,-118.3961
1,LA-0236,WB,Burbank Blvd,NS,Sepulveda Blvd,NEC,Van Nuys,91411,34.1722,-118.465
1,LA-5388,SB,Cahuenga Blvd,FS,Barbara Ct,SWC,Hollywood Hills,90068,34.1278,-118.3467
1,LA-5481,EB,Cahuenga Blvd,NS,Hillpark Dr,SWC,Hollywood Hills,90068,34.1174,-118.3382
1,LA-3384,EB,California Ave,NS,Lincoln Blvd,SWC,Venice,90291,33.9978,-118.461
1,LA-3386,EB,California Ave,NS,Oakwood Ave,SWC,Venice,90291,33.9946,-118.4632
1,LC-0022,EB,Centinela Ave,FS,Green Valley Cir,SEC,Culver City,90045,33.9768,-118.3861
1,LA-3408,NB,Centinela Ave,FS,Marina Freeway,NEC,Playa Vista,90066,33.9854,-118.4137
1,LA-3424,SB,Centinela Ave,NS,Woodbine St,NWC,Mar Vista,90066,34.0123,-118.4403
1,LA-3432,WB,Century Blvd,FS,Concourse Way,NWC,Westchester/LAX,90045,33.9455,-118.3751
1,LA-6302,NB,Century Park West,NS,Santa Monica Blvd,SEC,Century City,90067,34.0589,-118.421
1,LA-1664,WB,Chandler Blvd,NS,Whitsett Ave,NEC,Valley Village,91607,34.1687,-118.4049
1,LA-7039,SB,Coldwater Canyon Ave,FS,Vose St,SWC,Valley Glen,91605,34.1983,-118.4139
1,LA-5803,EB,Colorado Blvd,FS,Ellenwood Dr,SEC,Eagle Rock,90041,34.1398,-118.2187
1,LA-7449,WB,Colorado Blvd,FS,Patrician Way,NWC,Eagle Rock,90041,34.141,-118.182
1,LA-3061,SB,Crenshaw Blvd,NS,Country Club Dr,NWC,Arlington Heights,90019,34.0533,-118.3239
1,LA-3076,SB,Crenshaw Blvd,NS,Washington Blvd,NWC,Arlington Heights,90019,34.0401,-118.3311
1,LA-1444,SB,Crystal Springs Dr,NS,Los Feliz Blvd,NWC,Los Feliz/Griffith Park,90027,34.1173,-118.2718
1,LA-3458,EB,Culver Blvd,NS,Vista Del Mar,SWC,Playa Del Rey,90293,33.9584,-118.4488
1,LA-3461,WB,Culver Blvd,FS,Westlawn Ave,SWC,Del Rey,90066,33.9888,-118.4229
1,LA-0088,NB,Cypress Ave,NS,Alice St,SEC,Cypress Park,90065,34.0952,-118.2277
1,LA-0646,SB,De Soto Ave,NS,Erwin St,NWC,Woodland Hills,91367,34.1828,-118.59
1,LA-6345,SB,De Soto Ave,FS,Kittridge St,SWC,Canoga Park,91303,34.191,-118.5885
1,LA-0654,SB,De Soto Ave,NS,Oxnard St,NWC,Woodland Hills,91367,34.1795,-118.59
1,LA-0660,NB,De Soto Ave,NS,Sherman Way,SEC,Canoga Park,91303,34.2011,-118.589
1,LA-4569,NB,Eagle Rock Blvd N,FS,Verdugo Rd,NEC,Cypress Park,90065,34.105,-118.238
1,LA-5542,NB,Fairfax Ave,FS,3rd St,NEC,Fairfax,90036,34.072,-118.3613
1,LA-5548,NB,Fairfax Ave,FS,Fountain Ave,NEC,Hollywood (CA),90046,34.0946,-118.3614
1,LA-1698,SB,Fairfax Ave,FS,Rosewood Ave,SWC,Fairfax,90036,34.08,-118.3616
1,LA-1261,NB,Fairfax Ave,NS,Sunset Blvd,SEC,Hollywood (CA),90046,34.0977,-118.3614
1,LA-3088,NB,Fairfax Ave,NS,Venice Blvd,SEC,Mid-City,90019,34.0396,-118.3694
1,LA-1705,SB,Fairfax Ave,FS,Willoughby Ave,SWC,Fairfax,90046,34.0869,-118.3616
1,LA-6391,SB,Fallbrook Ave,FS,Hatteras St,SWC,Woodland Hills,91367,34.1761,-118.6234
1,LA-6567,NB,Figueroa St,FS,9th St,NEC,Downtown Los Angeles,90017,34.0466,-118.2623
1,LA-6550,SB,Figueroa St,NS,Ave 45,NWC,Highland Park,90065,34.0961,-118.2073
1,LA-0105,NB,Figueroa St,NS,Ave 54,SEC,Highland Park,90042,34.1072,-118.197
1,LA-0108,SB,Figueroa St,NS,Ave 60,NWC,Highland Park,90042,34.1116,-118.188
1,LA-6557,NB,Figueroa St,NS,Cesar Chavez Ave,SEC,Downtown Los Angeles,90012,34.0621,-118.2464
1,LA-6813,NB,Figueroa St,NS,Diamond St,SEC,Downtown Los Angeles,90012,34.0582,-118.2514
1,LA-6058,NB,Figueroa St,FS,Lanark St,NEC,Eagle Rock,90041,34.1345,-118.1893
1,LA-6055,NB,Figueroa St,NS,Meridian St,SEC,Highland Park,90042,34.1201,-118.1835
1,LA-6577,NB,Figueroa St,@,Woodside Dr // 700ft North of Woodside Dr,@,Highland Park,90065,34.0995,-118.2038
1,LA-7655,WB,Fletcher Dr,NS,Larga Ave,NEC,Atwater Village,90039,34.1105,-118.2513
1,LA-5713,SB,Flower St,NS,11th St,NWC,Downtown Los Angeles,90015,34.0432,-118.2641
1,LA-6613,WB,Franklin Ave,@,Harvard Blvd,,Los Feliz/Griffith Park,90027,34.1054,-118.305
1,LA-1709,WB,Gayley Ave,NS,Landfair Ave,NEC,Westwood,90024,34.0707,-118.4531
1,LA-7118,NB,Glendale Blvd,FS,Berkeley Ave,NEC,Echo Park,90026,34.0837,-118.2598
1,LA-4591,NB,Glendale Blvd,FS,Glenhurst Ave,NEC,Atwater Village,90039,34.1163,-118.262
1,LA-7120,NB,Glendale Blvd,NS,Lakewood Ave,SEC,Atwater Village,90039,34.1071,-118.2629
